,keyphrase,keyphrase in _ plans
9011,terms cost,1
9012,compliant timescale,1
9013,services transition,1
9014,current emissions,1
8992,expenditure proposals,1
8989,cambridge,1
8958,sewage gas,1
8988,support policies,1
8960,citizens,1
8962,migratory species,1
8963,first step,1
8964,heating costs,1
8965,future impacts,1
8968,climate emissions,1
8969,use framework,1
8973,recycling performance,1
8980,housing improvement,1
8982,local priority planning,1
8985,waste cabinet,1
8986,complementary strategies,1
9015,action themes,1
9016,freight strategy,1
9017,online consultation climate,1
9018,somerset strategies,1
9051,pulse surveys,1
9055,mate change,1
9056,grass,1
9057,bicycles,1
9058,positive emissions,1
9059,green week,1
9061,emission targets,1
9062,energy development,1
9067,park lane,1
9068,measures buildings,1
9069,total capital,1
9070,typical family car,1
9071,new taxi,1
9072,geological epoch,1
9073,additional collection round,1
9074,aviation,1
9049,facetime,1
9048,coastal assets,1
9047,staff costs,1
9029,green skills,1
9019,economic inequalities climate,1
9020,smaller recommendations chairman,1
9021,green fleet review,1
9022,domestic supplies,1
9023,southern uk,1
9026,council parks,1
9027,average dorset residents,1
9028,ongoing engage partner,1
9030,demand buses,1
9045,related costs,1
9031,depressive disorder,1
9033,scottish climate adaptation,1
9034,annual compliance,1
9035,stages scheme,1
9042,sustainable neighbourhoods,1
9043,private sector housing,1
9044,efficient upgrade programme,1
8959,emission buses,1
8957,new tools,1
8866,arun district,1
8869,recycling target,1
8872,new housing management,1
8873,transport reduction,1
8877,cardiovascular quality standards,1
8878,latter option,1
8879,nitrous oxide carbon,1
8882,united nations,1
8883,other grant,1
8884,childcare settings,1
8885,alternative energy,1
8888,annual damages,1
8889,early interventions,1
8890,low maintenance budgets,1
8891,merged approach,1
8868,local energy plan,1
8864,carbon national,1
8956,connectivity investment,1
8863,heat island,1
8841,urgent policy changes,1
8842,unique challenges,1
8843,less energy,1
8845,solar panel electricity,1
8846,towns emissions,1
8847,water development,1
8851,industrial processes council,1
8852,solar heating,1
8853,new energy,1
8854,draft version,1
8855,specific carbon consumption,1
8856,organisation thinking,1
8857,overall objective,1
8858,capita emissions,1
8859,local energy assistance,1
8860,sustainability panel,1
8862,goal increase,1
8896,transport district,1
8897,term emissions,1
8899,change engagement,1
8900,greater manchester mayor,1
8935,whole building approach,1
8936,consultancy resources,1
8940,recommendations partnerships,1
8941,cross sector,1
8942,partner action,1
8944,services fuel,1
8945,own climate emergency,1
8947,budget responsibility,1
8948,savings indirect,1
8949,governance district,1
8950,upgrading services,1
8951,kingston zone,1
8952,natural means,1
8953,draft analysis,1
8954,march reduce,1
8955,biodiversity audit,1
8934,strategic fit,1
8932,pathway scenarios,1
8910,ev chargers,1
8902,separate document,1
8903,baseline carbon dioxide,1
8904,liberal labour democrats,1
8906,design criteria,1
8908,final target savings,1
8909,budget cuts,1
8931,latest report,1
8914,indicative action plan,1
8917,comprehensive tree planting,1
8919,fewer people,1
8920,interventions efficiency,1
8925,local biodiversity review,1
8927,partners application,1
8929,congestion tonnes,1
9075,environmental statement,1
9222,actions project,1
9225,annual growth,1
9226,scatter assessment,1
9227,london corporation,1
9228,gas activity,1
9230,march contact,1
9232,requirements developments,1
9233,buildings cabinet,1
9234,latest assessment,1
9238,qualitative assessment,1
9239,periodic reporting,1
9240,priority activity,1
9243,investment programme,1
9244,protocol greenhouse,1
9219,changes legislation,1
9217,connected cycle routes,1
9196,associated policy response,1
9198,cosy devon partnership,1
9200,carbon task,1
9201,change acts,1
9202,businesses gas,1
9203,planning role,1
9204,transport networks,1
9207,mixed recycling services,1
9209,activity carbon,1
9210,template policy,1
9211,future scenarios,1
9212,thermal image survey,1
9214,regional powers,1
9216,specific retrofit measures,1
9249,similar environment strategy,1
9254,conservation area,1
9255,bedford prepare,1
9283,square kilometres,1
9284,healthy communities community,1
9285,energy information,1
9286,overarching aims,1
9289,technology,1
9291,potential steps,1
9292,principal population centres,1
9293,major impact,1
9296,little waste,1
9298,annual carbon performance,1
9301,ecological consultation,1
9304,council table,1
9305,monitoring methods,1
9282,wind farms,1
9281,early assessment,1
9280,frontline services,1
9264,green service structure,1
9256,available evidence base,1
9257,critical turning point,1
9258,milestone targets,1
9259,emitting areas,1
9261,additional energy services,1
9262,reid council,1
9263,steps page,1
9265,vibrant,1
9267,wastewater treatment,1
9268,contaminated recycling,1
9269,school transport,1
9270,central scenario page,1
9277,recent climate,1
9194,hydrocarbons,1
9192,figure un,1
9079,modelling assumptions,1
9110,benefit cost,1
9113,accreditation methodology,1
9115,expires,1
9116,wight council,1
9117,clear link,1
9118,coral sylvan,1
9120,cumulative reduction,1
9122,likely overshoot uk,1
9123,corporate decisions,1
9124,internal actions,1
9125,property type,1
9126,direct carbon footprint,1
9128,additional audits link,1
9129,urgent tasks,1
9130,different groups,1
9111,offset scheme,1
9109,sustainable growth,1
9189,diagram,1
9108,service requirements,1
9081,energy spring,1
9086,february climate,1
9087,facts,1
9088,future temperatures,1
9089,recycling encourage,1
9090,significant quayside,1
9091,think,1
9093,overall carbon budget,1
9095,active travel strategy,1
9096,north staffs,1
9099,biodiversity grant,1
9100,approach lobbying,1
9103,first manchester city,1
9104,government conversion,1
9106,capital projects,1
9107,programme context,1
9135,temporary accommodation,1
9136,average air,1
9137,active travel networks,1
9138,fewer staff,1
9163,carbon pathways,1
9167,local carbon reduction,1
9168,wider network,1
9170,regional strategies,1
9171,gases trap,1
9173,industrial strategy vision,1
9174,convertible attics,1
9175,overall carbon dioxide,1
9177,such events,1
9178,kent environment,1
9180,boiler upgrades,1
9182,net biodiversity gain,1
9185,own district,1
9188,services board,1
9162,foundation trust,1
9161,courageous lead,1
9160,organisational structure,1
9148,individual sources,1
9139,ongoing install,1
9140,office accommodation,1
9143,outdoor air quality,1
9144,new building projects,1
9146,budget comments,1
9147,more charging points,1
9149,social media posts,1
9150,alternative development levers,1
9151,latest figures,1
9152,rubbish show,1
9153,planetary health,1
9154,bio div,1
9156,significant increases,1
9157,biodiversity science,1
9764,uk act,1
9767,attachment data file,1
10714,motion support,1
10374,transformative action projects,1
10376,solar panels certificate,1
10378,electric planting group,1
10379,net carbon government,1
10381,kingston council,1
10382,change champion,1
10385,national islands,1
10386,partnership manchester,1
10388,main report,1
10390,public transport enhancements,1
10391,lower energy input,1
10394,long term income,1
10395,arterial routes,1
10396,water waste,1
10397,global effort,1
10399,clever council commitment,1
10400,un scotland,1
10401,city partnership,1
10373,weather conditions,1
10404,key objective,1
10370,borough strategy,1
10350,material costs,1
10351,unnatural heating,1
10352,service manager,1
10355,limestone grassland,1
10357,vehicle renewal,1
10358,carbon refurbishment,1
10359,improvement works,1
10360,carbon target,1
10361,new baseline categories,1
10362,councils scope,1
10363,update procurement,1
10364,programme offer,1
10365,local ity targets,1
10367,sector developments,1
10369,affordable warmth strategy,1
10405,statutory considerations consideration,1
9768,packaging,1
10442,dates,1
10444,directorate change officer,1
10445,activities,1
10447,territorial boundary,1
10448,fall,1
10449,current emissions reduction,1
10452,contamination campaign,1
10453,entity,1
10456,average tonnes,1
10457,complete carbon literacy,1
10459,best practice organisations,1
10460,transport impact,1
10461,strategic place,1
10462,low carbon diets,1
10463,committee,1
10443,low carbon wales,1
10441,innovations sections,1
10406,neighbourhood investment,1
10436,electric vehicle uptake,1
10407,local planning role,1
10408,change world,1
10410,ice reduction,1
10412,offset carbon,1
10413,staff confidence,1
10414,policy thinking,1
10417,maximise opportunities,1
10418,resilience page,1
10421,areas property,1
10423,considerable time lag,1
10424,investment trust,1
10425,reusable items,1
10426,homes sector,1
10428,green travel programmes,1
10430,birmingham coalition,1
10433,new carbon reduction,1
10346,routine executive wards,1
10345,measurable reduction,1
10254,nursery,1
10256,complete closure,1
10257,robust,1
10258,somerset west,1
10259,joint evidence,1
10260,ecological mitigation concept,1
10261,treat sectors,1
10262,fewer food move,1
10263,non car mode,1
10266,redevelopment duration,1
10270,green innovation,1
10273,sustainability transition,1
10274,home heating,1
10275,broad habitat type,1
10277,paper napkins,1
10278,emission source,1
10279,sustainable warmth programme,1
10255,green house,1
10253,home,1
10343,future installations,1
10252,effective methods guidance,1
10228,current commuting patterns,1
10229,bike servicing,1
10230,land assets,1
10231,approach,1
10234,mandatory training,1
10236,cycling initiatives,1
10241,eu objective,1
10242,recycling government,1
10244,kent resilience forum,1
10245,manager recovery,1
10248,carbon category,1
10249,building blocks,1
10251,industrial aims,1
10280,renewable energy mar,1
10281,plan data,1
10282,schools health,1
10314,relative importance,1
10316,urban areas implementation,1
10317,reporting boundaries,1
10319,med term house,1
10323,resources transport,1
10324,cambridge north stations,1
10325,term implications,1
10326,assessment flooding,1
10329,rainfall events,1
10330,electric car pool,1
10335,wall insulation,1
10337,sap score,1
10342,sustainable transport committee,1
10313,envelope improvements,1
10310,transformative changes,1
10297,thermal efficiency ratings,1
10288,efficient measures,1
10289,energy tariffs,1
10291,local habitats wildlife,1
10292,public reporting,1
10298,crop pollination,1
10308,species decline,1
10301,integral role,1
10302,global citizens,1
10305,options report,1
10306,austerity cuts,1
10465,participatory mechanisms,1
10625,unintentional climate emergency,1
10627,unique role,1
10628,interconnected issues,1
10629,communities climate,1
10630,unavoidable emissions,1
10634,funded grassland management,1
10636,management,1
10639,eco grants,1
10640,cabinet level,1
10641,greener borough mitigation,1
10642,regular basis,1
10643,implement projects,1
10644,contractual arrangements,1
10646,key actions,1
10648,urban air quality,1
10626,gradual switching,1
10624,effective partnerships,1
10589,influence partner,1
10622,excess uk deaths,1
10592,oct director,1
10593,group objectives,1
10595,phrase carbon,1
10596,separate levels,1
10604,civic offices heating,1
10605,shocks weather,1
10609,tube trailers,1
10611,policy carbon,1
10612,collective carbon footprint,1
10615,great hope,1
10617,fuelling support,1
10620,connected bulletin,1
10621,equal aspiration,1
10649,stronger futures plan,1
10656,sound governance,1
10685,management programmes,1
10690,verifiable evidence,1
10691,steeper valley sides,1
10692,active travel capture,1
10693,ship,1
10695,efficient practises,1
10698,valuable cost savings,1
10699,continuous supply,1
10700,council biodiversity,1
10703,adverse climate change,1
10704,collective knowledge,1
10706,neutral plan evidence,1
10708,renewable energy fund,1
10709,river ver,1
10710,promotion resource,1
10711,new government policy,1
10712,first update report,1
10684,staff act,1
10682,food system,1
10666,corporate board,1
10660,recycling prepare,1
